GAME_ID: 228
STARTED_AT:  2020/08/06 14:57:21 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/06 14:57:22 
p1:end_turn 2020/08/06 14:57:22 
p2:end_turn 2020/08/06 14:57:23 
p1:end_turn 2020/08/06 14:57:23 
p2:end_turn 2020/08/06 14:57:23 
p1:end_turn 2020/08/06 14:57:23 
p2:end_turn 2020/08/06 14:57:24 
p1:end_turn 2020/08/06 14:57:24 
p2:end_turn 2020/08/06 14:57:25 
p1:end_turn 2020/08/06 14:57:25 
p2:end_turn 2020/08/06 14:57:26 
p1:end_turn 2020/08/06 14:57:27 
p2:end_turn 2020/08/06 14:57:27 
p1:end_turn 2020/08/06 14:57:28 
p2:end_turn 2020/08/06 14:57:28 
p1:end_turn 2020/08/06 14:57:28 
p2:end_turn 2020/08/06 14:57:30 
p1:end_turn 2020/08/06 14:57:30 
p1:play_card 2020/08/06 14:57:31 Dirty Rat
p1:play_card 2020/08/06 14:57:34 Divine Strength
p2:end_turn 2020/08/06 14:57:36 
p1:end_turn 2020/08/06 14:57:36 
p1:play_card 2020/08/06 14:57:39 Divine Strength
p2:end_turn 2020/08/06 14:57:41 
p1:end_turn 2020/08/06 14:57:41 
p2:end_turn 2020/08/06 14:57:42 
p1:end_turn 2020/08/06 14:57:51 
p2:end_turn 2020/08/06 14:57:53 
p1:end_turn 2020/08/06 14:57:58 
p2:end_turn 2020/08/06 14:57:59 
p1:end_turn 2020/08/06 14:58:59 
p2:end_turn 2020/08/06 14:59:59 
p1:end_turn 2020/08/06 15:00:59 
p2:end_turn 2020/08/06 15:01:59 
p1:end_turn 2020/08/06 15:02:59 
p2:end_turn 2020/08/06 15:04:00 
p1:end_turn 2020/08/06 15:05:00 
p2:end_turn 2020/08/06 15:06:00 
p1:end_turn 2020/08/06 15:07:00 
p2:end_turn 2020/08/06 15:08:00 
p1:end_turn 2020/08/06 15:09:01 
p2:end_turn 2020/08/06 15:10:01 
p1:end_turn 2020/08/06 15:11:01 
p2:end_turn 2020/08/06 15:12:01 
p1:end_turn 2020/08/06 15:13:01 
p2:end_turn 2020/08/06 15:14:02 
p1:end_turn 2020/08/06 15:15:02 
p2:end_turn 2020/08/06 15:16:02 
p1:end_turn 2020/08/06 15:17:02 
p2:end_turn 2020/08/06 15:18:02 
p1:end_turn 2020/08/06 15:19:02 
p2:end_turn 2020/08/06 15:20:03 
p1:end_turn 2020/08/06 15:21:03 
p2:end_turn 2020/08/06 15:22:03 
p1:end_turn 2020/08/06 15:23:03 
p2:end_turn 2020/08/06 15:24:04 
p1:end_turn 2020/08/06 15:25:04 
p2:end_turn 2020/08/06 15:26:04 
p1:end_turn 2020/08/06 15:27:05 
p2:end_turn 2020/08/06 15:28:05 
p1:end_turn 2020/08/06 15:29:06 
p2:end_turn 2020/08/06 15:30:06 
p1:end_turn 2020/08/06 15:31:07 
p2:end_turn 2020/08/06 15:32:07 
p1:end_turn 2020/08/06 15:33:08 
p2:end_turn 2020/08/06 15:34:08 
p1:end_turn 2020/08/06 15:35:08 
p2:end_turn 2020/08/06 15:36:09 
p1:end_turn 2020/08/06 15:37:09 
p2:end_turn 2020/08/06 15:38:09 
p1:end_turn 2020/08/06 15:39:09 
p2:end_turn 2020/08/06 15:40:10 
p1:end_turn 2020/08/06 15:41:10 
p2:end_turn 2020/08/06 15:42:11 
p1:end_turn 2020/08/06 15:43:11 
p2:end_turn 2020/08/06 15:44:11 
p1:end_turn 2020/08/06 15:45:12 
p2:end_turn 2020/08/06 15:46:12 
p1:end_turn 2020/08/06 15:47:13 
p2:end_turn 2020/08/06 15:48:13 
p1:end_turn 2020/08/06 15:49:14 
p2:end_turn 2020/08/06 15:50:14 
p1:end_turn 2020/08/06 15:51:15 
p2:end_turn 2020/08/06 15:52:15 
p1:end_turn 2020/08/06 15:53:15 
p2:end_turn 2020/08/06 15:54:16 
p1:end_turn 2020/08/06 15:54:17 
p2:end_turn 2020/08/06 15:54:17 
p1:end_turn 2020/08/06 15:54:18 
p2:end_turn 2020/08/06 15:54:22 
p1:end_turn 2020/08/06 15:55:22 
p2:end_turn 2020/08/06 15:56:22 
