GAME_ID: 222
STARTED_AT:  2020/08/06 14:20:54 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/06 14:20:56 
p1:end_turn 2020/08/06 14:20:56 
p1:play_card 2020/08/06 14:20:57 Dirty Rat
p2:end_turn 2020/08/06 14:21:02 
p1:end_turn 2020/08/06 14:21:02 
p2:end_turn 2020/08/06 14:21:03 
p1:end_turn 2020/08/06 14:21:03 
p2:end_turn 2020/08/06 14:21:53 
p1:end_turn 2020/08/06 14:21:54 
p2:end_turn 2020/08/06 14:21:55 
p1:end_turn 2020/08/06 14:21:56 
p2:end_turn 2020/08/06 14:21:57 
p1:end_turn 2020/08/06 14:21:58 
p2:end_turn 2020/08/06 14:21:59 
p1:end_turn 2020/08/06 14:22:00 
p2:end_turn 2020/08/06 14:22:01 
p1:end_turn 2020/08/06 14:22:02 
p2:end_turn 2020/08/06 14:22:03 
p1:end_turn 2020/08/06 14:22:04 
p2:end_turn 2020/08/06 14:22:05 
p1:end_turn 2020/08/06 14:22:06 
p2:end_turn 2020/08/06 14:22:07 
p1:end_turn 2020/08/06 14:22:08 
p2:end_turn 2020/08/06 14:22:09 
p1:end_turn 2020/08/06 14:22:10 
p2:end_turn 2020/08/06 14:22:11 
p1:end_turn 2020/08/06 14:22:12 
p2:end_turn 2020/08/06 14:22:13 
p1:end_turn 2020/08/06 14:22:14 
p2:end_turn 2020/08/06 14:22:15 
p1:end_turn 2020/08/06 14:22:16 
p2:end_turn 2020/08/06 14:22:17 
p1:end_turn 2020/08/06 14:22:18 
p2:end_turn 2020/08/06 14:22:19 
p1:end_turn 2020/08/06 14:22:20 
p2:end_turn 2020/08/06 14:22:21 
p1:end_turn 2020/08/06 14:22:22 
p2:end_turn 2020/08/06 14:22:23 
p1:end_turn 2020/08/06 14:22:24 
p2:end_turn 2020/08/06 14:22:25 
p1:end_turn 2020/08/06 14:22:26 
p2:end_turn 2020/08/06 14:22:27 
p1:end_turn 2020/08/06 14:22:28 
p2:end_turn 2020/08/06 14:22:29 
p1:end_turn 2020/08/06 14:22:30 
p2:end_turn 2020/08/06 14:22:31 
p1:end_turn 2020/08/06 14:22:32 
p2:end_turn 2020/08/06 14:22:33 
p1:end_turn 2020/08/06 14:22:34 
p2:end_turn 2020/08/06 14:22:35 
p1:end_turn 2020/08/06 14:22:36 
p2:end_turn 2020/08/06 14:22:37 
p1:end_turn 2020/08/06 14:22:38 
p2:end_turn 2020/08/06 14:22:39 
p1:end_turn 2020/08/06 14:22:40 
p2:end_turn 2020/08/06 14:22:41 
p1:end_turn 2020/08/06 14:22:42 
p2:end_turn 2020/08/06 14:22:43 
p1:end_turn 2020/08/06 14:22:44 
p2:end_turn 2020/08/06 14:22:45 
p1:end_turn 2020/08/06 14:22:46 
p2:end_turn 2020/08/06 14:22:47 
p1:end_turn 2020/08/06 14:22:48 
p2:end_turn 2020/08/06 14:22:49 
p1:end_turn 2020/08/06 14:22:50 
p2:end_turn 2020/08/06 14:22:51 
p1:end_turn 2020/08/06 14:22:52 
p2:end_turn 2020/08/06 14:22:53 
p1:end_turn 2020/08/06 14:22:54 
p2:end_turn 2020/08/06 14:22:55 
p1:end_turn 2020/08/06 14:22:56 
p2:end_turn 2020/08/06 14:22:57 
p1:end_turn 2020/08/06 14:22:58 
p2:end_turn 2020/08/06 14:22:59 
p1:end_turn 2020/08/06 14:23:00 
p2:end_turn 2020/08/06 14:23:01 
p1:end_turn 2020/08/06 14:23:02 
p2:end_turn 2020/08/06 14:23:03 
p1:end_turn 2020/08/06 14:23:04 
p2:end_turn 2020/08/06 14:23:05 
p1:end_turn 2020/08/06 14:23:06 
p2:end_turn 2020/08/06 14:23:07 
p1:end_turn 2020/08/06 14:23:08 
p2:end_turn 2020/08/06 14:23:09 
p1:end_turn 2020/08/06 14:23:10 
p2:end_turn 2020/08/06 14:23:11 
p1:end_turn 2020/08/06 14:23:12 
p2:end_turn 2020/08/06 14:23:13 
p1:end_turn 2020/08/06 14:23:14 
p2:end_turn 2020/08/06 14:23:15 
p1:end_turn 2020/08/06 14:23:16 
p2:end_turn 2020/08/06 14:23:17 
p1:end_turn 2020/08/06 14:23:18 
p2:end_turn 2020/08/06 14:23:19 
p1:end_turn 2020/08/06 14:23:20 
p2:end_turn 2020/08/06 14:23:21 
p1:end_turn 2020/08/06 14:23:22 
p2:end_turn 2020/08/06 14:23:23 
p1:end_turn 2020/08/06 14:23:24 
p2:end_turn 2020/08/06 14:23:25 
p1:end_turn 2020/08/06 14:23:26 
p2:end_turn 2020/08/06 14:23:27 
p1:end_turn 2020/08/06 14:23:28 
p2:end_turn 2020/08/06 14:23:29 
p1:end_turn 2020/08/06 14:23:30 
p2:end_turn 2020/08/06 14:23:31 
p1:end_turn 2020/08/06 14:23:32 
p2:end_turn 2020/08/06 14:23:33 
p1:end_turn 2020/08/06 14:23:34 
p2:end_turn 2020/08/06 14:23:35 
p1:end_turn 2020/08/06 14:23:36 
p2:end_turn 2020/08/06 14:23:37 
p1:end_turn 2020/08/06 14:23:38 
p2:end_turn 2020/08/06 14:23:39 
p1:end_turn 2020/08/06 14:23:40 
p2:end_turn 2020/08/06 14:23:41 
p1:end_turn 2020/08/06 14:23:42 
p2:end_turn 2020/08/06 14:23:43 
p1:end_turn 2020/08/06 14:23:44 
p2:end_turn 2020/08/06 14:23:45 
p1:end_turn 2020/08/06 14:23:46 
p2:end_turn 2020/08/06 14:23:47 
p1:end_turn 2020/08/06 14:23:48 
p2:end_turn 2020/08/06 14:23:49 
p1:end_turn 2020/08/06 14:23:50 
p2:end_turn 2020/08/06 14:23:51 
p1:end_turn 2020/08/06 14:23:52 
p2:end_turn 2020/08/06 14:23:53 
p1:end_turn 2020/08/06 14:23:54 
p2:end_turn 2020/08/06 14:23:55 
p1:end_turn 2020/08/06 14:23:56 
p2:end_turn 2020/08/06 14:23:57 
p1:end_turn 2020/08/06 14:23:58 
p2:end_turn 2020/08/06 14:23:59 
p1:end_turn 2020/08/06 14:24:00 
p2:end_turn 2020/08/06 14:24:01 
p1:end_turn 2020/08/06 14:24:02 
p2:end_turn 2020/08/06 14:24:03 
p1:end_turn 2020/08/06 14:24:04 
p2:end_turn 2020/08/06 14:24:05 
p1:end_turn 2020/08/06 14:24:06 
p2:end_turn 2020/08/06 14:24:07 
p1:end_turn 2020/08/06 14:24:08 
p2:end_turn 2020/08/06 14:24:09 
p1:end_turn 2020/08/06 14:24:10 
p2:end_turn 2020/08/06 14:24:11 
p1:end_turn 2020/08/06 14:24:12 
p2:end_turn 2020/08/06 14:24:13 
p1:end_turn 2020/08/06 14:24:14 
p2:end_turn 2020/08/06 14:24:15 
p1:end_turn 2020/08/06 14:24:16 
p2:end_turn 2020/08/06 14:24:17 
p1:end_turn 2020/08/06 14:24:18 
p2:end_turn 2020/08/06 14:24:19 
p1:end_turn 2020/08/06 14:24:20 
p2:end_turn 2020/08/06 14:24:21 
p1:end_turn 2020/08/06 14:24:22 
p2:end_turn 2020/08/06 14:24:23 
p1:end_turn 2020/08/06 14:24:24 
p2:end_turn 2020/08/06 14:24:25 
p1:end_turn 2020/08/06 14:24:26 
p2:end_turn 2020/08/06 14:24:27 
p1:end_turn 2020/08/06 14:24:28 
p2:end_turn 2020/08/06 14:24:29 
p1:end_turn 2020/08/06 14:24:30 
p2:end_turn 2020/08/06 14:24:31 
p1:end_turn 2020/08/06 14:24:32 
p2:end_turn 2020/08/06 14:24:33 
p1:end_turn 2020/08/06 14:24:34 
p2:end_turn 2020/08/06 14:24:35 
p1:end_turn 2020/08/06 14:24:36 
p2:end_turn 2020/08/06 14:24:37 
p1:end_turn 2020/08/06 14:24:38 
p2:end_turn 2020/08/06 14:24:39 
p1:end_turn 2020/08/06 14:24:40 
p2:end_turn 2020/08/06 14:24:41 
p1:end_turn 2020/08/06 14:24:42 
p2:end_turn 2020/08/06 14:24:43 
p1:end_turn 2020/08/06 14:24:44 
p2:end_turn 2020/08/06 14:24:45 
p1:end_turn 2020/08/06 14:24:46 
p2:end_turn 2020/08/06 14:24:47 
p1:end_turn 2020/08/06 14:24:48 
p2:end_turn 2020/08/06 14:24:49 
p1:end_turn 2020/08/06 14:24:50 
p2:end_turn 2020/08/06 14:24:51 
p1:end_turn 2020/08/06 14:24:52 
p2:end_turn 2020/08/06 14:24:53 
p1:end_turn 2020/08/06 14:24:54 
p2:end_turn 2020/08/06 14:24:55 
p1:end_turn 2020/08/06 14:24:56 
p2:end_turn 2020/08/06 14:24:57 
p1:end_turn 2020/08/06 14:24:58 
p2:end_turn 2020/08/06 14:24:59 
p1:end_turn 2020/08/06 14:25:00 
p2:end_turn 2020/08/06 14:25:01 
p1:end_turn 2020/08/06 14:25:02 
p2:end_turn 2020/08/06 14:25:03 
p1:end_turn 2020/08/06 14:25:04 
p2:end_turn 2020/08/06 14:25:05 
p1:end_turn 2020/08/06 14:25:06 
p2:end_turn 2020/08/06 14:25:07 
p1:end_turn 2020/08/06 14:25:08 
p2:end_turn 2020/08/06 14:25:09 
p1:end_turn 2020/08/06 14:25:10 
p2:end_turn 2020/08/06 14:25:11 
p1:end_turn 2020/08/06 14:25:12 
p2:end_turn 2020/08/06 14:25:13 
p1:end_turn 2020/08/06 14:25:14 
p2:end_turn 2020/08/06 14:25:15 
p1:end_turn 2020/08/06 14:25:16 
p2:end_turn 2020/08/06 14:25:17 
p1:end_turn 2020/08/06 14:25:18 
p2:end_turn 2020/08/06 14:25:20 
p1:end_turn 2020/08/06 14:25:21 
p2:end_turn 2020/08/06 14:25:22 
p1:end_turn 2020/08/06 14:25:23 
p2:end_turn 2020/08/06 14:25:24 
p1:end_turn 2020/08/06 14:25:25 
p2:end_turn 2020/08/06 14:25:26 
p1:end_turn 2020/08/06 14:25:27 
