GAME_ID: 204
STARTED_AT:  2020/08/05 23:23:16 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/05 23:23:17 
p1:end_turn 2020/08/05 23:23:17 
p1:play_card 2020/08/05 23:23:18 Dirty Rat
p2:end_turn 2020/08/05 23:23:20 
p1:end_turn 2020/08/05 23:23:20 
p2:end_turn 2020/08/05 23:24:20 
p1:end_turn 2020/08/05 23:25:20 
p2:end_turn 2020/08/05 23:26:20 
p1:end_turn 2020/08/05 23:27:20 
p2:end_turn 2020/08/05 23:28:20 
p1:end_turn 2020/08/05 23:29:21 
p2:end_turn 2020/08/05 23:30:21 
p1:end_turn 2020/08/05 23:31:21 
p2:end_turn 2020/08/05 23:32:21 
p1:end_turn 2020/08/05 23:33:21 
p2:end_turn 2020/08/05 23:34:21 
p1:end_turn 2020/08/05 23:35:22 
p2:end_turn 2020/08/05 23:36:22 
p1:end_turn 2020/08/05 23:37:22 
p2:end_turn 2020/08/05 23:38:22 
p1:end_turn 2020/08/05 23:39:22 
p2:end_turn 2020/08/05 23:40:23 
p1:end_turn 2020/08/05 23:41:23 
p2:end_turn 2020/08/05 23:42:23 
p1:end_turn 2020/08/05 23:43:24 
p2:end_turn 2020/08/05 23:44:24 
p1:end_turn 2020/08/05 23:45:24 
p2:end_turn 2020/08/05 23:46:25 
p1:end_turn 2020/08/05 23:47:25 
p2:end_turn 2020/08/05 23:48:25 
p1:end_turn 2020/08/05 23:49:25 
p2:end_turn 2020/08/05 23:50:25 
p1:end_turn 2020/08/05 23:51:26 
p2:end_turn 2020/08/05 23:52:26 
p1:end_turn 2020/08/05 23:53:26 
p2:end_turn 2020/08/05 23:54:26 
p1:end_turn 2020/08/05 23:55:26 
p2:end_turn 2020/08/05 23:56:26 
p1:end_turn 2020/08/05 23:57:27 
p2:end_turn 2020/08/05 23:58:27 
p1:end_turn 2020/08/05 23:59:27 
p2:end_turn 2020/08/06 00:00:27 
p1:end_turn 2020/08/06 00:01:27 
p2:end_turn 2020/08/06 00:02:28 
p1:end_turn 2020/08/06 00:03:28 
p2:end_turn 2020/08/06 00:04:28 
p1:end_turn 2020/08/06 00:05:28 
p2:end_turn 2020/08/06 00:06:29 
p1:end_turn 2020/08/06 00:07:29 
p2:end_turn 2020/08/06 00:08:29 
p1:end_turn 2020/08/06 00:09:30 
p2:end_turn 2020/08/06 00:10:30 
p1:end_turn 2020/08/06 00:11:30 
p2:end_turn 2020/08/06 00:12:30 
p1:end_turn 2020/08/06 00:13:31 
p2:end_turn 2020/08/06 00:14:31 
p1:end_turn 2020/08/06 00:15:31 
p2:end_turn 2020/08/06 00:16:32 
p1:end_turn 2020/08/06 00:17:32 
p2:end_turn 2020/08/06 00:18:33 
p1:end_turn 2020/08/06 00:19:33 
p2:end_turn 2020/08/06 00:20:33 
p1:end_turn 2020/08/06 00:21:34 
p2:end_turn 2020/08/06 00:22:34 
p1:end_turn 2020/08/06 00:23:35 
p2:end_turn 2020/08/06 00:24:35 
p1:end_turn 2020/08/06 00:25:35 
p2:end_turn 2020/08/06 00:26:36 
p1:end_turn 2020/08/06 00:27:36 
p2:end_turn 2020/08/06 00:28:37 
p1:end_turn 2020/08/06 00:29:37 
p2:end_turn 2020/08/06 00:30:37 
p1:end_turn 2020/08/06 00:31:38 
p2:end_turn 2020/08/06 00:32:38 
p1:end_turn 2020/08/06 00:33:39 
p2:end_turn 2020/08/06 00:34:39 
p1:end_turn 2020/08/06 00:35:39 
p2:end_turn 2020/08/06 00:36:40 
p1:end_turn 2020/08/06 00:37:40 
p2:end_turn 2020/08/06 00:38:41 
p1:end_turn 2020/08/06 00:39:41 
p2:end_turn 2020/08/06 00:40:41 
