GAME_ID: 226
STARTED_AT:  2020/08/06 14:36:12 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/06 14:36:15 
p1:end_turn 2020/08/06 14:36:15 
p1:play_card 2020/08/06 14:36:17 Dirty Rat
p2:end_turn 2020/08/06 14:36:18 
p1:end_turn 2020/08/06 14:36:18 
p2:end_turn 2020/08/06 14:36:20 
p1:end_turn 2020/08/06 14:36:20 
p2:end_turn 2020/08/06 14:37:11 
p1:end_turn 2020/08/06 14:37:12 
p2:end_turn 2020/08/06 14:37:13 
p1:end_turn 2020/08/06 14:37:14 
p2:end_turn 2020/08/06 14:37:15 
p1:end_turn 2020/08/06 14:37:16 
p2:end_turn 2020/08/06 14:37:17 
p1:end_turn 2020/08/06 14:37:18 
p2:end_turn 2020/08/06 14:37:19 
p1:end_turn 2020/08/06 14:37:20 
p2:end_turn 2020/08/06 14:37:21 
p1:end_turn 2020/08/06 14:37:22 
p2:end_turn 2020/08/06 14:37:23 
p1:end_turn 2020/08/06 14:37:24 
p2:end_turn 2020/08/06 14:37:25 
p1:end_turn 2020/08/06 14:37:26 
p2:end_turn 2020/08/06 14:37:27 
p1:end_turn 2020/08/06 14:37:28 
p2:end_turn 2020/08/06 14:37:29 
p1:end_turn 2020/08/06 14:37:30 
p2:end_turn 2020/08/06 14:37:31 
p1:end_turn 2020/08/06 14:37:32 
p2:end_turn 2020/08/06 14:37:33 
p1:end_turn 2020/08/06 14:37:34 
p2:end_turn 2020/08/06 14:37:35 
p1:end_turn 2020/08/06 14:37:36 
p2:end_turn 2020/08/06 14:37:37 
p1:end_turn 2020/08/06 14:37:38 
p2:end_turn 2020/08/06 14:37:39 
p1:end_turn 2020/08/06 14:37:40 
p2:end_turn 2020/08/06 14:37:41 
p1:end_turn 2020/08/06 14:37:42 
p2:end_turn 2020/08/06 14:37:43 
p1:end_turn 2020/08/06 14:37:44 
p2:end_turn 2020/08/06 14:37:45 
p1:end_turn 2020/08/06 14:37:46 
p2:end_turn 2020/08/06 14:37:47 
p1:end_turn 2020/08/06 14:37:48 
p2:end_turn 2020/08/06 14:37:49 
p1:end_turn 2020/08/06 14:37:50 
p2:end_turn 2020/08/06 14:37:51 
p1:end_turn 2020/08/06 14:37:52 
p2:end_turn 2020/08/06 14:37:53 
p1:end_turn 2020/08/06 14:37:54 
p2:end_turn 2020/08/06 14:37:55 
p1:end_turn 2020/08/06 14:37:56 
p2:end_turn 2020/08/06 14:37:57 
p1:end_turn 2020/08/06 14:37:58 
p2:end_turn 2020/08/06 14:37:59 
p1:end_turn 2020/08/06 14:38:00 
p2:end_turn 2020/08/06 14:38:01 
p1:end_turn 2020/08/06 14:38:02 
p2:end_turn 2020/08/06 14:38:03 
p1:end_turn 2020/08/06 14:38:04 
p2:end_turn 2020/08/06 14:38:05 
p1:end_turn 2020/08/06 14:38:06 
p2:end_turn 2020/08/06 14:38:07 
p1:end_turn 2020/08/06 14:38:08 
p2:end_turn 2020/08/06 14:38:09 
p1:end_turn 2020/08/06 14:38:10 
p2:end_turn 2020/08/06 14:38:11 
p1:end_turn 2020/08/06 14:38:12 
p2:end_turn 2020/08/06 14:38:13 
p1:end_turn 2020/08/06 14:38:14 
p2:end_turn 2020/08/06 14:38:15 
p1:end_turn 2020/08/06 14:38:16 
p2:end_turn 2020/08/06 14:38:17 
p1:end_turn 2020/08/06 14:38:18 
p2:end_turn 2020/08/06 14:38:19 
p1:end_turn 2020/08/06 14:38:20 
p2:end_turn 2020/08/06 14:38:21 
p1:end_turn 2020/08/06 14:38:22 
p2:end_turn 2020/08/06 14:38:23 
p1:end_turn 2020/08/06 14:38:24 
p2:end_turn 2020/08/06 14:38:25 
p1:end_turn 2020/08/06 14:38:26 
p2:end_turn 2020/08/06 14:38:27 
p1:end_turn 2020/08/06 14:38:28 
p2:end_turn 2020/08/06 14:38:29 
p1:end_turn 2020/08/06 14:38:30 
p2:end_turn 2020/08/06 14:38:31 
p1:end_turn 2020/08/06 14:38:32 
p2:end_turn 2020/08/06 14:38:33 
p1:end_turn 2020/08/06 14:38:34 
p2:end_turn 2020/08/06 14:38:35 
p1:end_turn 2020/08/06 14:38:36 
p2:end_turn 2020/08/06 14:38:37 
p1:end_turn 2020/08/06 14:38:38 
p2:end_turn 2020/08/06 14:38:39 
p1:end_turn 2020/08/06 14:38:41 
p2:end_turn 2020/08/06 14:38:42 
p1:end_turn 2020/08/06 14:38:43 
p2:end_turn 2020/08/06 14:38:44 
p1:end_turn 2020/08/06 14:38:45 
p2:end_turn 2020/08/06 14:38:46 
p1:end_turn 2020/08/06 14:38:47 
p2:end_turn 2020/08/06 14:38:48 
p1:end_turn 2020/08/06 14:38:49 
p2:end_turn 2020/08/06 14:38:50 
p1:end_turn 2020/08/06 14:38:51 
p2:end_turn 2020/08/06 14:38:52 
p1:end_turn 2020/08/06 14:38:53 
p2:end_turn 2020/08/06 14:38:54 
p1:end_turn 2020/08/06 14:38:55 
p2:end_turn 2020/08/06 14:38:56 
p1:end_turn 2020/08/06 14:38:57 
p2:end_turn 2020/08/06 14:38:58 
p1:end_turn 2020/08/06 14:38:59 
p2:end_turn 2020/08/06 14:39:00 
p1:end_turn 2020/08/06 14:39:01 
p2:end_turn 2020/08/06 14:39:02 
p1:end_turn 2020/08/06 14:39:03 
p2:end_turn 2020/08/06 14:39:04 
p1:end_turn 2020/08/06 14:39:05 
p2:end_turn 2020/08/06 14:39:06 
p1:end_turn 2020/08/06 14:39:07 
p2:end_turn 2020/08/06 14:39:08 
p1:end_turn 2020/08/06 14:39:09 
p2:end_turn 2020/08/06 14:39:10 
p1:end_turn 2020/08/06 14:39:11 
p2:end_turn 2020/08/06 14:39:12 
p1:end_turn 2020/08/06 14:39:13 
p2:end_turn 2020/08/06 14:39:14 
p1:end_turn 2020/08/06 14:39:15 
p2:end_turn 2020/08/06 14:39:16 
p1:end_turn 2020/08/06 14:39:17 
p2:end_turn 2020/08/06 14:39:18 
p1:end_turn 2020/08/06 14:39:19 
p2:end_turn 2020/08/06 14:39:20 
p1:end_turn 2020/08/06 14:39:21 
p2:end_turn 2020/08/06 14:39:22 
p1:end_turn 2020/08/06 14:39:23 
p2:end_turn 2020/08/06 14:39:24 
p1:end_turn 2020/08/06 14:39:25 
p2:end_turn 2020/08/06 14:39:26 
p1:end_turn 2020/08/06 14:39:27 
p2:end_turn 2020/08/06 14:39:28 
p1:end_turn 2020/08/06 14:39:29 
p2:end_turn 2020/08/06 14:39:30 
p1:end_turn 2020/08/06 14:39:31 
p2:end_turn 2020/08/06 14:39:32 
p1:end_turn 2020/08/06 14:39:33 
p2:end_turn 2020/08/06 14:39:34 
p1:end_turn 2020/08/06 14:39:35 
p2:end_turn 2020/08/06 14:39:36 
p1:end_turn 2020/08/06 14:39:37 
p2:end_turn 2020/08/06 14:39:38 
p1:end_turn 2020/08/06 14:39:39 
p2:end_turn 2020/08/06 14:39:40 
p1:end_turn 2020/08/06 14:39:41 
p2:end_turn 2020/08/06 14:39:42 
p1:end_turn 2020/08/06 14:39:43 
p2:end_turn 2020/08/06 14:39:44 
p1:end_turn 2020/08/06 14:39:45 
p2:end_turn 2020/08/06 14:39:46 
p1:end_turn 2020/08/06 14:39:47 
p2:end_turn 2020/08/06 14:39:48 
p1:end_turn 2020/08/06 14:39:49 
p2:end_turn 2020/08/06 14:39:50 
p1:end_turn 2020/08/06 14:39:51 
p2:end_turn 2020/08/06 14:39:52 
p1:end_turn 2020/08/06 14:39:53 
p2:end_turn 2020/08/06 14:39:54 
p1:end_turn 2020/08/06 14:39:55 
p2:end_turn 2020/08/06 14:39:56 
p1:end_turn 2020/08/06 14:39:57 
p2:end_turn 2020/08/06 14:39:58 
p1:end_turn 2020/08/06 14:39:59 
p2:end_turn 2020/08/06 14:40:00 
p1:end_turn 2020/08/06 14:40:01 
p2:end_turn 2020/08/06 14:40:02 
p1:end_turn 2020/08/06 14:40:03 
p2:end_turn 2020/08/06 14:40:04 
p1:end_turn 2020/08/06 14:40:05 
p2:end_turn 2020/08/06 14:40:06 
p1:end_turn 2020/08/06 14:40:07 
p2:end_turn 2020/08/06 14:40:08 
p1:end_turn 2020/08/06 14:40:09 
p2:end_turn 2020/08/06 14:40:10 
p1:end_turn 2020/08/06 14:40:11 
p2:end_turn 2020/08/06 14:40:12 
p1:end_turn 2020/08/06 14:40:13 
p2:end_turn 2020/08/06 14:40:14 
p1:end_turn 2020/08/06 14:40:15 
p2:end_turn 2020/08/06 14:40:16 
p1:end_turn 2020/08/06 14:40:17 
p2:end_turn 2020/08/06 14:40:18 
p1:end_turn 2020/08/06 14:40:19 
p2:end_turn 2020/08/06 14:40:20 
p1:end_turn 2020/08/06 14:40:21 
p2:end_turn 2020/08/06 14:40:22 
p1:end_turn 2020/08/06 14:40:23 
p2:end_turn 2020/08/06 14:40:24 
p1:end_turn 2020/08/06 14:40:25 
p2:end_turn 2020/08/06 14:40:26 
p1:end_turn 2020/08/06 14:40:27 
p2:end_turn 2020/08/06 14:40:28 
p1:end_turn 2020/08/06 14:40:29 
p2:end_turn 2020/08/06 14:40:30 
p1:end_turn 2020/08/06 14:40:31 
p2:end_turn 2020/08/06 14:40:32 
p1:end_turn 2020/08/06 14:40:33 
p2:end_turn 2020/08/06 14:40:34 
p1:end_turn 2020/08/06 14:40:35 
p2:end_turn 2020/08/06 14:40:36 
p1:end_turn 2020/08/06 14:40:37 
p2:end_turn 2020/08/06 14:40:38 
p1:end_turn 2020/08/06 14:40:39 
p2:end_turn 2020/08/06 14:40:40 
