GAME_ID: 225
STARTED_AT:  2020/08/06 14:31:14 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/06 14:34:21 
p1:end_turn 2020/08/06 14:34:22 
p2:end_turn 2020/08/06 14:34:23 
p1:end_turn 2020/08/06 14:34:24 
p2:end_turn 2020/08/06 14:34:25 
p1:end_turn 2020/08/06 14:34:26 
p2:end_turn 2020/08/06 14:34:27 
p1:end_turn 2020/08/06 14:34:28 
p2:end_turn 2020/08/06 14:34:29 
p1:end_turn 2020/08/06 14:34:30 
p2:end_turn 2020/08/06 14:34:31 
p1:end_turn 2020/08/06 14:34:32 
p2:end_turn 2020/08/06 14:34:33 
p1:end_turn 2020/08/06 14:34:34 
p2:end_turn 2020/08/06 14:34:35 
p1:end_turn 2020/08/06 14:34:36 
p2:end_turn 2020/08/06 14:34:37 
p1:end_turn 2020/08/06 14:34:38 
p2:end_turn 2020/08/06 14:34:39 
p1:end_turn 2020/08/06 14:34:40 
p2:end_turn 2020/08/06 14:34:41 
p1:end_turn 2020/08/06 14:34:42 
p2:end_turn 2020/08/06 14:34:43 
p1:end_turn 2020/08/06 14:34:44 
p2:end_turn 2020/08/06 14:34:45 
p1:end_turn 2020/08/06 14:34:46 
p2:end_turn 2020/08/06 14:34:47 
p1:end_turn 2020/08/06 14:34:48 
p2:end_turn 2020/08/06 14:34:49 
p1:end_turn 2020/08/06 14:34:50 
p2:end_turn 2020/08/06 14:34:51 
p1:end_turn 2020/08/06 14:34:52 
p2:end_turn 2020/08/06 14:34:53 
p1:end_turn 2020/08/06 14:34:54 
p2:end_turn 2020/08/06 14:34:55 
p1:end_turn 2020/08/06 14:34:56 
p2:end_turn 2020/08/06 14:34:57 
p1:end_turn 2020/08/06 14:34:58 
p2:end_turn 2020/08/06 14:34:59 
p1:end_turn 2020/08/06 14:35:00 
p2:end_turn 2020/08/06 14:35:01 
p1:end_turn 2020/08/06 14:35:02 
p2:end_turn 2020/08/06 14:35:03 
