GAME_ID: 223
STARTED_AT:  2020/08/06 14:25:54 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p2:end_turn 2020/08/06 14:25:55 
p1:end_turn 2020/08/06 14:25:55 
p1:play_card 2020/08/06 14:25:56 Dirty Rat
p2:end_turn 2020/08/06 14:25:57 
p1:end_turn 2020/08/06 14:25:58 
p2:end_turn 2020/08/06 14:26:53 
p1:end_turn 2020/08/06 14:26:54 
p2:end_turn 2020/08/06 14:26:55 
p1:end_turn 2020/08/06 14:26:56 
p2:end_turn 2020/08/06 14:26:57 
p1:end_turn 2020/08/06 14:26:58 
p2:end_turn 2020/08/06 14:26:59 
p1:end_turn 2020/08/06 14:27:00 
p2:end_turn 2020/08/06 14:27:01 
p1:end_turn 2020/08/06 14:27:02 
p2:end_turn 2020/08/06 14:27:03 
p1:end_turn 2020/08/06 14:27:04 
p2:end_turn 2020/08/06 14:27:05 
p1:end_turn 2020/08/06 14:27:06 
p2:end_turn 2020/08/06 14:27:07 
p1:end_turn 2020/08/06 14:27:08 
p2:end_turn 2020/08/06 14:27:09 
p1:end_turn 2020/08/06 14:27:10 
p2:end_turn 2020/08/06 14:27:11 
p1:end_turn 2020/08/06 14:27:12 
p2:end_turn 2020/08/06 14:27:13 
p1:end_turn 2020/08/06 14:27:14 
p2:end_turn 2020/08/06 14:27:15 
p1:end_turn 2020/08/06 14:27:16 
p2:end_turn 2020/08/06 14:27:17 
p1:end_turn 2020/08/06 14:27:18 
p2:end_turn 2020/08/06 14:27:19 
p1:end_turn 2020/08/06 14:27:20 
p2:end_turn 2020/08/06 14:27:21 
p1:end_turn 2020/08/06 14:27:22 
p2:end_turn 2020/08/06 14:27:23 
p1:end_turn 2020/08/06 14:27:24 
p2:end_turn 2020/08/06 14:27:25 
p1:end_turn 2020/08/06 14:27:26 
p2:end_turn 2020/08/06 14:27:27 
p1:end_turn 2020/08/06 14:27:28 
p2:end_turn 2020/08/06 14:27:29 
p1:end_turn 2020/08/06 14:27:30 
p2:end_turn 2020/08/06 14:27:31 
p1:end_turn 2020/08/06 14:27:32 
p2:end_turn 2020/08/06 14:27:33 
p1:end_turn 2020/08/06 14:27:34 
p2:end_turn 2020/08/06 14:27:35 
p1:end_turn 2020/08/06 14:27:36 
p2:end_turn 2020/08/06 14:27:37 
p1:end_turn 2020/08/06 14:27:38 
p2:end_turn 2020/08/06 14:27:39 
p1:end_turn 2020/08/06 14:27:40 
p2:end_turn 2020/08/06 14:27:41 
p1:end_turn 2020/08/06 14:27:42 
p2:end_turn 2020/08/06 14:27:43 
p1:end_turn 2020/08/06 14:27:44 
p2:end_turn 2020/08/06 14:27:45 
p1:end_turn 2020/08/06 14:27:46 
p2:end_turn 2020/08/06 14:27:47 
p1:end_turn 2020/08/06 14:27:48 
p2:end_turn 2020/08/06 14:27:49 
p1:end_turn 2020/08/06 14:27:50 
p2:end_turn 2020/08/06 14:27:51 
p1:end_turn 2020/08/06 14:27:52 
p2:end_turn 2020/08/06 14:27:53 
p1:end_turn 2020/08/06 14:27:54 
p2:end_turn 2020/08/06 14:27:55 
p1:end_turn 2020/08/06 14:27:56 
p2:end_turn 2020/08/06 14:27:57 
p1:end_turn 2020/08/06 14:27:58 
p2:end_turn 2020/08/06 14:27:59 
p1:end_turn 2020/08/06 14:28:00 
p2:end_turn 2020/08/06 14:28:01 
p1:end_turn 2020/08/06 14:28:02 
p2:end_turn 2020/08/06 14:28:03 
p1:end_turn 2020/08/06 14:28:04 
p2:end_turn 2020/08/06 14:28:05 
p1:end_turn 2020/08/06 14:28:06 
p2:end_turn 2020/08/06 14:28:07 
p1:end_turn 2020/08/06 14:28:08 
p2:end_turn 2020/08/06 14:28:09 
p1:end_turn 2020/08/06 14:28:10 
p2:end_turn 2020/08/06 14:28:11 
p1:end_turn 2020/08/06 14:28:12 
p2:end_turn 2020/08/06 14:28:13 
p1:end_turn 2020/08/06 14:28:14 
p2:end_turn 2020/08/06 14:28:15 
p1:end_turn 2020/08/06 14:28:16 
p2:end_turn 2020/08/06 14:28:17 
p1:end_turn 2020/08/06 14:28:18 
p2:end_turn 2020/08/06 14:28:19 
p1:end_turn 2020/08/06 14:28:20 
p2:end_turn 2020/08/06 14:28:21 
p1:end_turn 2020/08/06 14:28:22 
p2:end_turn 2020/08/06 14:28:23 
p1:end_turn 2020/08/06 14:28:24 
p2:end_turn 2020/08/06 14:28:25 
p1:end_turn 2020/08/06 14:28:26 
p2:end_turn 2020/08/06 14:28:27 
p1:end_turn 2020/08/06 14:28:28 
p2:end_turn 2020/08/06 14:28:29 
p1:end_turn 2020/08/06 14:28:30 
p2:end_turn 2020/08/06 14:28:31 
p1:end_turn 2020/08/06 14:28:32 
p2:end_turn 2020/08/06 14:28:33 
p1:end_turn 2020/08/06 14:28:34 
p2:end_turn 2020/08/06 14:28:35 
p1:end_turn 2020/08/06 14:28:36 
p2:end_turn 2020/08/06 14:28:37 
p1:end_turn 2020/08/06 14:28:38 
p2:end_turn 2020/08/06 14:28:39 
p1:end_turn 2020/08/06 14:28:40 
p2:end_turn 2020/08/06 14:28:41 
p1:end_turn 2020/08/06 14:28:42 
p2:end_turn 2020/08/06 14:28:43 
p1:end_turn 2020/08/06 14:28:44 
p2:end_turn 2020/08/06 14:28:45 
